,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Traj_type
47,7.766487623,7.173188704,7.457060403,8.910790837,7.685817305,7.932879282,6.865815102,7.233984194,7.230409701,6.91409127,6.852003368,5.82884511,6.010678239,5.391207984,5.726135963,7.109952433,6.888498775,7.009692596,6.805725591,6.544118118,6.037622264,5.970136122,5.148872432,2.329550164,3.428058408,1.11005602,0.369663507,0.108450452,0.038327554,0.774136073,0.807677724,Congressing
48,1.655985104,2.942203929,3.512610483,3.935077608,3.283845204,3.463445837,2.835871519,1.941010825,2.053655281,2.249627407,1.613798377,1.87330593,1.243620681,2.247317614,2.283017773,2.66629622,3.597664172,4.493640312,4.140056147,1.131972754,-0.789165052,-1.498114533,-2.275027684,-1.8850125,-2.25818971,-2.110781246,-0.910205444,-1.739148855,-1.821964719,-5.173801955,-4.523772343,Quasi-static
49,5.504243401,5.673705255,4.920302873,4.982763027,3.453222322,3.053742475,3.146182098,3.526372735,3.462019091,3.273139302,2.094294428,2.042683048,1.321493363,0.976536416,1.012236574,0.870531498,0.972348753,1.093542574,1.440205891,1.013621866,1.495512055,-0.158274785,0.97946216,1.058899398,0.618260844,-1.414008544,0.622128729,-0.645633123,-2.034225603,-1.580003885,-1.686724274,Quasi-static
50,3.645932831,3.153200064,2.764870096,2.478388378,3.123610009,3.388838589,4.296936989,5.045524869,4.713135483,4.217935536,4.444999991,3.660378481,4.125087177,4.531494695,4.495794537,2.916947648,2.583363918,1.559949136,0.174408031,-2.346525055,0.284469719,-0.802339021,-1.023290966,-0.821532703,-0.18586373,-0.382029799,-0.276157565,0.639211795,1.124781462,-0.038495372,-0.322507239,Congressing
51,7.44155469,6.900064319,6.946145725,6.940188088,6.731144509,7.441873724,7.416224024,7.933175861,7.119221203,7.167037099,7.211092682,7.048969905,7.702698246,8.078380478,8.073405605,7.09835371,6.410643349,5.880684952,5.247356348,3.813126368,2.573684325,-0.691459426,-2.360060234,-3.70853803,-3.471346227,-4.046223005,-2.500322888,-0.676852227,-0.020966655,-0.939784046,-1.040787041,Congressing
52,4.597850183,5.001458037,5.35811739,6.2424896,6.344023967,6.841019024,6.339814826,5.609904624,5.369019674,4.885841273,3.252091723,3.089968946,3.200551011,1.939571236,0.634830519,1.118510247,0.475280857,0.525074361,0.098797721,-0.369094301,0.050975604,-0.633079334,-0.263998471,0.633059221,0.463220589,0.315812125,-0.140035223,-0.098697531,-0.076660818,-1.224708692,-0.782695845,Congressing
53,9.50046334,9.113662115,8.921294851,8.835854324,8.718315182,8.617526018,9.354637092,9.437979407,8.410290592,9.385843814,8.691853136,9.573015213,9.163822674,9.801996669,9.516497715,9.481204692,8.580562027,8.868132781,8.196464411,8.836782594,10.11806077,11.28279829,11.60379297,10.30407278,10.64224807,9.402125725,7.311220075,4.809274233,3.163252233,3.336477301,2.717303408,Retracing
54,5.153670171,4.466037419,4.249627063,4.371909921,4.394632818,4.147570841,4.055131218,4.352207691,4.007796759,4.061623428,3.910648593,3.748525816,4.426968669,3.318011614,4.087819061,4.345743085,6.355210052,5.849966168,5.559674934,3.611420258,-2.140860728,-1.836399189,-0.686655667,-1.180868253,-0.545199281,0.149635918,2.501043641,3.839604682,4.398646466,4.706122801,3.785856515,Congressing
55,2.453473928,2.861384452,2.681723198,1.077337046,1.433324858,1.100634934,2.425379056,3.507551317,2.936917888,4.01788051,4.944309084,4.905521104,4.611799734,4.431819339,3.540453591,3.264497248,2.950606867,3.071800689,2.571141856,1.741132608,-0.823613229,-2.756991864,-2.265796744,-1.942571483,-1.772602418,-1.625193954,-1.078644023,-0.819150188,1.358263909,1.356026167,1.780300074,Quasi-static
56,-2.524488672,-2.544046463,-2.645567667,-2.480513817,-2.551994319,-2.744422203,-3.255777573,-3.070617354,-2.848436144,-2.536245069,-2.226304454,-1.15447667,-2.009917622,-2.525731462,-1.818774966,-1.191708496,0.30738981,0.715118486,0.036529268,0.549704114,4.30317768,4.374890858,7.263905053,9.936993638,12.06075442,12.37313943,13.89030396,12.87835167,12.42951806,12.67106835,10.48979979,Retracing
